Time,Tco,Tho
1.0,30.359608,89.940071
2.0,30.690229,89.883063
3.0,31.009566,89.82612
4.0,31.317981,89.769242
5.0,31.615874,89.71243
6.0,31.903488,89.655682
7.0,32.181226,89.599
8.0,32.44941,89.542382
9.0,32.708388,89.48583
10.0,32.958479,89.429342
11.0,33.19997,89.372919
12.0,33.43315,89.31656
13.0,33.658352,89.260267
14.0,33.875833,89.204037
15.0,34.085811,89.147873
16.0,34.288617,89.091772
17.0,34.484501,89.035736
18.0,34.673617,88.979764
19.0,34.856272,88.923856
20.0,35.032707,88.868013
21.0,35.203042,88.812233
22.0,35.367552,88.756517
23.0,35.526463,88.700865
24.0,35.898224,88.655402
25.0,36.26921,88.610554
26.0,36.627487,88.565757
27.0,36.973526,88.521011
28.0,37.307643,88.476316
29.0,37.630253,88.431673
30.0,37.941768,88.387081
31.0,38.242566,88.34254
32.0,38.533021,88.298051
33.0,38.813357,88.253612
34.0,39.083997,88.209225
35.0,39.34533,88.164888
36.0,39.597741,88.120602
37.0,39.841608,88.076368
38.0,40.077022,88.032184
39.0,40.304402,87.98805
40.0,40.524042,87.943968
41.0,40.736099,87.899936
42.0,40.940905,87.855954
43.0,41.138707,87.812024
44.0,41.329688,87.768143
45.0,41.514131,87.724313
46.0,41.69225,87.680533
47.0,41.86423,87.636804
48.0,42.030322,87.593125
49.0,42.190709,87.549496
50.0,42.345572,87.505917
51.0,42.495136,87.462388
52.0,42.639534,87.418909
53.0,42.778937,87.37548
54.0,42.913543,87.332101
55.0,43.043536,87.288771
56.0,43.169099,87.245492
57.0,43.290322,87.202262
58.0,43.407343,87.159081
59.0,43.520351,87.115951
60.0,43.629497,87.072869
61.0,43.73493,87.029838
62.0,43.836748,86.986855
63.0,43.935052,86.943922
64.0,44.029992,86.901039
65.0,44.121684,86.858204
66.0,44.210241,86.815419
67.0,44.295767,86.772683
68.0,44.378365,86.729996
69.0,44.458133,86.687357
70.0,44.535162,86.644768
71.0,44.609539,86.602228
72.0,44.681385,86.559737
73.0,44.750852,86.517294
74.0,44.81797,86.4749
75.0,44.882814,86.432555
76.0,44.945457,86.390258
77.0,45.005965,86.34801
78.0,45.064399,86.30581
79.0,45.120815,86.263659
80.0,45.175264,86.221556
81.0,45.22779,86.179502
82.0,45.278434,86.137496
83.0,45.327366,86.095538
84.0,45.374649,86.053628
85.0,45.420286,86.011766
